Zipcode,Median Income ,Old Median Income,Growth
00966,5976,1952,4024
00968,1775,15034,-13259
00969,14577,9963,4614
00971,9104,21554,-12450
00976,22179,7374,14805
00979,8548,6029,2519
00982,5804,14507,-8703
00983,12664,12472,192
00985,12105,19863,-7758
00987,20202,7018,13184
01001,6791,9260,-2469
01002,9985,17,9968
01003,15,1819,-1804
01005,1761,5624,-3863
01007,5917,461,5456
01008,506,279,227
01009,333,1422,-1089
01010,1503,520,983
01011,498,237,261
01012,227,8905,-8678
01013,9375,12922,-3547
01020,13400,1130,12270
01022,1082,462,620
01026,454,7967,-7513
01027,8451,5769,2682
01028,6017,262,5755
01029,228,4452,-4224
01030,4994,577,4417
01031,608,274,334
01032,198,2603,-2405
01033,2530,733,1797
01034,830,2101,-1271
01035,2254,1844,410
01036,2016,235,1781
01037,257,1166,-909
01038,1111,707,404
01039,709,16032,-15323
01040,15062,1055,14007
01050,1072,576,496
01053,712,744,-32
01054,708,8029,-7321
01056,8567,3398,5169
01057,3485,6553,-3068
01060,7060,4610,2450
01062,4162,0,4162
01063,5,0,5
01066,34,650,-616
01068,625,3554,-2929
01069,3732,238,3494
01070,258,586,-328
01071,518,628,-110
01072,609,2337,-1728
01073,2318,118,2200
01074,157,7100,-6943
01075,7328,3650,3678
01077,3648,223,3425
01079,237,1036,-799
01080,895,720,175
01081,708,4487,-3779
01082,4689,1207,3482
01083,934,104,830
01084,44,15507,-15463
01085,15608,0,15608
01088,345,360,-15
01089,12734,11694,1040
01092,532,576,-44
01093,70,119,-49
01094,31,149,-118
01095,5417,5345,72
01096,1058,907,151
01097,26,25,1
01098,510,539,-29
01103,1434,1466,-32
01104,9208,8905,303
01105,5206,4901,305
01106,6015,5956,59
01107,4234,3721,513
01108,10213,9128,1085
01109,9506,9553,-47
01118,5785,5567,218
01119,5230,5051,179
01128,1136,938,198
01129,2523,2896,-373
01144,0,3316,-3316
01151,3664,0,3664
01201,19952,20577,-625
01220,3948,3796,152
01222,289,407,-118
01223,1223,1035,188
01224,80,80,0
01225,1509,1301,208
01226,2907,2692,215
01229,88,60,28
01230,3793,3395,398
01235,1104,1151,-47
01236,704,571,133
01237,1019,1048,-29
01238,2292,2533,-241
01240,2158,2096,62
01242,93,122,-29
01243,80,118,-38
01244,68,46,22
01245,355,344,11
01247,6527,6891,-364
01253,434,271,163
01254,440,451,-11
01255,309,356,-47
01256,330,286,44
01257,1013,843,170
01258,77,157,-80
01259,292,240,52
01260,81,62,19
01262,688,524,164
01264,100,74,26
01266,421,717,-296
01267,2541,2900,-359
01270,372,286,86
01301,8190,7849,341
01330,704,640,64
01331,5450,5155,295
01337,1007,1115,-108
01338,63,79,-16
01339,627,702,-75
01340,797,703,94
01341,730,714,16
01342,343,542,-199
01343,60,38,22
01344,681,594,87
01346,180,181,-1
01347,96,45,51
01349,327,360,-33
01350,52,61,-9
01351,1046,1025,21
01354,602,593,9
01355,413,358,55
01360,1213,1229,-16
01364,3021,3377,-356
01366,458,477,-19
01367,178,232,-54
01368,551,443,108
01370,1694,1732,-38
01373,2355,2006,349
01375,1666,1488,178
01376,2312,2376,-64
01378,319,313,6
01379,381,447,-66
01380,14,14907,-14893
01420,16383,2278,14105
01430,2141,1066,1075
01431,1297,3058,-1761
01432,3560,94,3466
01434,315,1206,-891
01436,1262,159,1103
01438,124,7847,-7723
01440,8904,3778,5126
01450,3820,1696,2124
