Zipcode,Median Income ,Old Median Income,Growth
ZCTA5 01778,4838,5003,-165
ZCTA5 01801,16292,15507,785
ZCTA5 01803,10093,9183,910
ZCTA5 01810,13235,12065,1170
ZCTA5 01821,11664,10743,921
ZCTA5 01824,9915,9593,322
ZCTA5 01826,12350,10952,1398
ZCTA5 01827,1136,1138,-2
ZCTA5 01830,10759,10009,750
ZCTA5 01832,9915,8778,1137
ZCTA5 01833,3185,2805,380
ZCTA5 01834,2532,2371,161
ZCTA5 01835,5434,5238,196
ZCTA5 01840,3068,2099,969
ZCTA5 01841,17019,15561,1458
ZCTA5 01843,10204,8949,1255
ZCTA5 01844,18792,17598,1194
ZCTA5 01845,10971,10193,778
ZCTA5 01850,5864,5634,230
ZCTA5 01851,11376,10275,1101
ZCTA5 01852,14628,13570,1058
ZCTA5 01854,10417,9799,618
ZCTA5 01860,2589,2439,150
ZCTA5 01862,3956,3470,486
ZCTA5 01863,3713,3890,-177
ZCTA5 01864,5848,5239,609
ZCTA5 01867,9297,8867,430
ZCTA5 01876,11903,10485,1418
ZCTA5 01879,4053,4055,-2
ZCTA5 01880,10905,9771,1134
ZCTA5 01886,8515,7378,1137
ZCTA5 01887,7756,7329,427
ZCTA5 01890,8149,7569,580
ZCTA5 01901,1194,1126,68
ZCTA5 01902,18673,16899,1774
ZCTA5 01904,7044,6845,199
ZCTA5 01905,9339,8762,577
ZCTA5 01906,10581,10093,488
ZCTA5 01907,6169,5672,497
ZCTA5 01908,1678,1584,94
ZCTA5 01913,7326,6694,632
ZCTA5 01915,16363,15406,957
ZCTA5 01921,2905,2735,170
ZCTA5 01922,1196,988,208
ZCTA5 01923,10964,10319,645
ZCTA5 01929,1335,1421,-86
ZCTA5 01930,13168,12140,1028
ZCTA5 01937,0,0,0
ZCTA5 01938,5573,5512,61
ZCTA5 01940,4663,4325,338
ZCTA5 01944,2080,1997,83
ZCTA5 01945,8075,7837,238
ZCTA5 01949,3122,2623,499
ZCTA5 01950,7537,7502,35
ZCTA5 01951,1337,1577,-240
ZCTA5 01952,3885,3405,480
ZCTA5 01960,22681,21032,1649
ZCTA5 01965,354,3088,-2734
ZCTA5 01966,3319,2241,1078
ZCTA5 01969,2326,17834,-15508
ZCTA5 01970,19699,2614,17085
ZCTA5 01982,2575,2093,482
ZCTA5 01983,2202,1308,894
ZCTA5 01984,1291,1463,-172
ZCTA5 01985,1591,6223,-4632
ZCTA5 02019,6250,8439,-2189
ZCTA5 02021,9305,2852,6453
ZCTA5 02025,3146,9609,-6463
ZCTA5 02026,10458,1834,8624
ZCTA5 02030,1916,1356,560
ZCTA5 02032,1522,6505,-4983
ZCTA5 02035,7289,10968,-3679
ZCTA5 02038,12118,8140,3978
ZCTA5 02043,9252,4744,4508
ZCTA5 02045,4380,70,4310
ZCTA5 02047,89,8247,-8158
ZCTA5 02048,8707,9854,-1147
ZCTA5 02050,10142,4025,6117
ZCTA5 02052,4373,4445,-72
ZCTA5 02053,4812,3020,1792
ZCTA5 02054,3078,3175,-97
ZCTA5 02056,2967,3451,-484
ZCTA5 02061,3567,11623,-8056
ZCTA5 02062,13002,6640,6362
ZCTA5 02066,7412,6157,1255
ZCTA5 02067,6395,289,6106
ZCTA5 02071,383,10641,-10258
ZCTA5 02072,11277,7008,4269
ZCTA5 02081,7251,5255,1996
ZCTA5 02090,5424,3831,1593
ZCTA5 02093,4480,2337,2143
ZCTA5 02108,1905,2190,-285
ZCTA5 02109,1958,981,977
ZCTA5 02110,1282,3390,-2108
ZCTA5 02111,3515,4329,-814
ZCTA5 02113,4025,6752,-2727
